id;disciplina;assunto;enunciado;alt_a;alt_b;alt_c;alt_d;gabarito;just_a;just_b;just_c;just_d;dica_interpretacao;formula_aplicavel;dificuldade
256;Direito Constitucional;Direitos Fundamentais;Qual direito fundamental assegura que 'ninguém será privado da liberdade ou de seus bens sem o devido processo legal'?;Princípio da Legalidade;Princípio da Igualdade;Princípio do Contraditório e Ampla Defesa;Princípio do Devido Processo Legal;D;Errado. Legalidade é 'não há crime sem lei anterior'.;Errado. Igualdade é 'todos são iguais perante a lei'.;Errado. Contraditório e Ampla Defesa são garantias dentro do processo.;Correto. Esta é a definição do 'Due Process of Law'.;É a garantia mais ampla de um julgamento justo.;Art. 5º, LIV da CF/88;Fácil
257;Matemática;Porcentagem;Um produto teve um desconto de 20% e passou a custar R$ 160,00. Qual era o preço original?;R$ 180,00;R$ 192,00;R$ 200,00;R$ 210,00;C;Errado.;Errado. 192 seria 160 + 20% de 160.;Correto. Se teve 20% de desconto, R$ 160 corresponde a 80% (100% - 20%) do preço original (P). 0,80 * P = 160 => P = 160 / 0,80 => P = 200.;Errado.;Use regra de três: 160 está para 80%, assim como X está para 100%.;Preço Final = Preço Original * (1 - taxa de desconto);Médio
258;Psicologia (Saúde);Psicologia do Desenvolvimento (Vygotsky);O conceito de 'Zona de Desenvolvimento Proximal' (ZDP), introduzido por Vygotsky, refere-se:;Às habilidades que a criança já domina.;À distância entre o desenvolvimento real e o desenvolvimento potencial.;Às fases do desenvolvimento psicossexual.;Aos reflexos inatos do bebê.;B;Errado. Isso é o desenvolvimento real.;Correto. ZDP é o espaço entre o que a criança faz sozinha e o que ela pode fazer com ajuda (de um adulto ou colega mais capaz).;Errado. Fases psicossexuais são de Freud.;Errado.;ZDP = Potencial de Aprendizagem com Mediação.;N/A;Médio
259;Atualidades;Tecnologia (IA);O teste proposto por Alan Turing para avaliar a capacidade de uma máquina exibir comportamento inteligente equivalente ao de um ser humano (ou indistinguível dele) é conhecido como:;Teste de Rorschach;Teste de QI;Jogo da Imitação (Teste de Turing);Teorema da Incompletude;C;Errado. Rorschach é um teste psicológico projetivo.;Errado. Teste de QI mede inteligência humana.;Correto. O 'Jogo da Imitação', descrito por Turing em 1950, é a base do famoso Teste de Turing.;Errado. Teorema de Gödel sobre limites da matemática.;A máquina 'passa' no teste se um interrogador humano não consegue distinguir suas respostas das de outro humano.;N/A;Médio
260;Língua Portuguesa;Semântica (Sentido das Palavras);Qual palavra significa 'adiar', 'prolongar'?;"\""Protelar\""";"\""Ratelar\""";"\""Interpelar\""";"\""Estrelar\""";A;Correto. Protelar é sinônimo de adiar, postergar, procrastinar.;Errado. Não existe.;Errado. Interpelar é questionar, intimar.;Errado.;Protelar = Jogar para frente.;N/A;Fácil
261;Direito Administrativo;Atos Administrativos (Atributos);Qual atributo do ato administrativo permite que a Administração Pública execute suas decisões por meios próprios, sem necessidade de recorrer previamente ao Judiciário?;Presunção de Legitimidade;Imperatividade;Autoexecutoriedade;Tipicidade;C;Errado. Presunção de legitimidade significa que o ato é considerado válido até prova em contrário.;Errado. Imperatividade é a capacidade de impor obrigações unilateralmente.;Correto. Autoexecutoriedade é a capacidade de executar o ato diretamente (ex: interditar um estabelecimento, demolir obra irregular).;Errado. Tipicidade significa que o ato deve corresponder a figuras definidas em lei.;Autoexecutoriedade = Executar por conta própria.;N/A;Médio
262;Raciocínio Lógico;Equivalência Lógica;A proposição 'Se o gato mia, então o rato se esconde' é logicamente equivalente a:;Se o rato se esconde, então o gato mia.;Se o gato não mia, então o rato não se esconde.;Se o rato não se esconde, então o gato não mia.;O gato mia e o rato não se esconde.;C;Errado. Esta é a 'Recíproca' (Q -> P), não equivalente.;Errado. Esta é a 'Contrária' (~P -> ~Q), não equivalente.;Correto. Esta é a 'Contrapositiva' (~Q -> ~P), que é sempre equivalente à original (P -> Q).;Errado. Esta é a negação da original.;A equivalência mais importante da condicional é a Contrapositiva: P -> Q <=> ~Q -> ~P.;N/A;Médio
263;Direito Constitucional;Direitos Sociais (Trabalhadores);Qual o prazo prescricional para o trabalhador urbano ou rural reclamar créditos resultantes das relações de trabalho?;2 anos após a extinção do contrato.;5 anos durante o contrato, limitado a 2 anos após a extinção.;5 anos após a extinção do contrato.;Não há prazo prescricional.;B;Incompleto. Existe também o limite de 5 anos.;Correto. O trabalhador pode reclamar os direitos dos últimos 5 anos de contrato, mas tem o prazo de até 2 anos após o fim do contrato para entrar com a ação.;Errado. O limite é de 2 anos após a extinção.;Errado.;São dois prazos cumulativos: 5 anos (prescrição quinquenal) e 2 anos (prescrição bienal).;Art. 7º, XXIX da CF/88;Médio
264;Matemática;Volume;Uma caixa d'água tem formato de paralelepípedo com dimensões 2m x 3m x 1,5m. Qual seu volume em metros cúbicos?;6 m³;9 m³;13,5 m³;10 m³;B;Errado. 6 seria 2 * 3 * 1.;Correto. Volume = Comprimento * Largura * Altura. V = 2 * 3 * 1,5 = 6 * 1,5 = 9 m³.;Errado. Verifique a multiplicação.;Errado.;Volume do Paralelepípedo = C * L * A.;V = C * L * A;Fácil
265;Psicologia (Gestão);Seleção de Pessoas;A técnica de seleção que simula situações reais do trabalho para observar o comportamento dos candidatos (ex: dinâmica de grupo, estudo de caso) é chamada de:;Entrevista;Teste Psicológico;Prova de Conhecimentos;Método de Simulação (ou Prova Situacional);D;Errado. Entrevista é uma conversa.;Errado. Teste psicológico mede aptidões ou personalidade.;Errado. Prova de conhecimentos mede o saber técnico.;Correto. Simulações buscam avaliar o 'saber fazer' e o 'saber ser' em contexto.;Observar o candidato 'em ação'.;N/A;Médio
266;Atualidades;Brasil (Política);O sistema eleitoral utilizado no Brasil para eleger Deputados Federais, Estaduais e Vereadores é o:;Majoritário;Distrital Misto;Proporcional de Lista Aberta;Proporcional de Lista Fechada;C;Errado. Majoritário é para Presidente, Governador, Prefeito e Senador (ganha quem tem mais votos).;Errado. Não adotado no Brasil.;Correto. Os votos vão para o partido/coligação e para o candidato. As vagas são distribuídas aos partidos (quociente eleitoral) e preenchidas pelos candidatos mais votados dentro do partido (lista aberta).;Errado. Lista fechada a ordem dos eleitos é definida pelo partido.;O sistema proporcional visa representar as diferentes correntes de opinião.;N/A;Médio
267;Língua Portuguesa;Coesão Textual;Qual elemento coesivo estabelece uma relação de ADVERSIDADE (oposição) entre as ideias?;Portanto;Além disso;Embora;Contudo;D;Errado. Conclusão.;Errado. Adição.;Errado. Concessão (oposição que não impede).;Correto. 'Contudo', 'mas', 'porém', 'entretanto', 'todavia' indicam oposição direta.;Adversidade = Ideias Opostas.;N/A;Fácil
268;Direito Administrativo;Processo Administrativo (Lei 9.784);A Lei do Processo Administrativo Federal (9.784/99) estabelece que um ato administrativo que apresente defeitos sanáveis pode ser:;Anulado;Revogado;Convalidado;Cassado;C;Errado. Anulação é para defeitos insanáveis (ilegalidade).;Errado. Revogação é por mérito (conveniência).;Correto. Convalidação é o ato de 'corrigir' um vício sanável, com efeitos retroativos (ex tunc).;Errado. Cassação é sanção.;Convalidar = Tornar Válido (o que era 'quase' válido).;Art. 55 da Lei 9.784/99;Médio
269;Raciocínio Lógico;Tabela Verdade (Implicação);Se P é Verdadeiro (V) e Q é Falso (F), qual o valor lógico de P -> Q?;Verdadeiro (V);Falso (F);Indeterminado;Nenhum dos dois.;B;Errado.;Correto. A condicional (Se P, então Q) só é Falsa na combinação V -> F (Regra do 'Vera Fischer').;Errado.;Errado.;Lembre-se: 'Vera Fischer é Falsa'.;N/A;Fácil
270;Direito Constitucional;Poder Judiciário (STF);Quantos Ministros compõem o Supremo Tribunal Federal (STF)?;9;11;15;33;B;Errado.;Correto. O STF é composto por 11 Ministros.;Errado. 15 é o número de Ministros do STM.;Errado. 33 é o número mínimo de Ministros do STJ.;É o órgão de cúpula do Judiciário brasileiro.;Art. 101 da CF/88;Fácil
271;Matemática;Juros Simples vs Compostos;Um capital C foi aplicado por 2 meses à mesma taxa de juros i. Os juros simples (Js) e os juros compostos (Jc) gerados foram:;Js = Jc;Js > Jc;Js < Jc;Impossível comparar.;C;Errado. Só seriam iguais no primeiro mês.;Errado.;Correto. A partir do segundo período, os juros compostos (que incidem sobre juros anteriores) sempre serão maiores que os juros simples (que incidem só sobre o capital inicial).;Errado.;Juros Compostos crescem mais rápido que Juros Simples (para t > 1).;N/A;Médio
272;Psicologia (Saúde);Psicologia Comunitária;A abordagem da Psicologia Comunitária se caracteriza principalmente por:;Foco no tratamento individual de transtornos mentais.;Atuação voltada para a promoção da saúde e fortalecimento de grupos e comunidades.;Aplicação de testes psicológicos em larga escala.;Pesquisa experimental em laboratório.;B;Errado. Este é o foco da clínica tradicional.;Correto. Busca a transformação social, empoderamento e participação comunitária.;Errado.;Errado.;Foco no coletivo, na prevenção e na transformação social.;N/A;Fácil
273;Atualidades;Inteligência Artificial;"O que significa a sigla \""LLM\"" no contexto da Inteligência Artificial?";Large Learning Model (Modelo de Aprendizagem Grande);Logical Language Module (Módulo de Linguagem Lógica);Large Language Model (Modelo de Linguagem Grande);Linear Logic Machine (Máquina de Lógica Linear);C;Errado.;Errado.;Correto. LLMs são modelos de IA treinados com enormes quantidades de texto, capazes de entender e gerar linguagem natural (ex: GPT, Gemini, Llama).;Errado.;LLMs são a base da IA Generativa de texto.;N/A;Fácil
274;Língua Portuguesa;Formação de Palavras;A palavra 'infelizmente' é formada por qual processo?;Derivação Prefixal;Derivação Sufixal;Derivação Parassintética;Derivação Prefixal e Sufixal;D;Incompleto. Tem o prefixo 'in-'.';Incompleto. Tem o sufixo '-mente'.;Errado. Parassíntese exige prefixo e sufixo simultaneamente (ex: en-trist-ecer).;Correto. A palavra 'feliz' recebeu primeiro o sufixo '-mente' (felizmente) e depois o prefixo 'in-' (infelizmente).;Analise a palavra 'mãe' (feliz) e os afixos adicionados.;N/A;Médio
275;Direito Administrativo;Controle (Recursos);O recurso administrativo que visa provocar a reanálise da mesma matéria pela mesma autoridade que proferiu a decisão é chamado de:;Reclamação;Pedido de Reconsideração;Recurso Hierárquico Próprio;Recurso Hierárquico Impróprio;B;Errado. Reclamação é mais usada no Judiciário.;Correto. O Pedido de Reconsideração é dirigido à própria autoridade, que pode reconsiderar sua decisão.;Errado. Recurso Hierárquico é para a autoridade superior.;Errado. Impróprio é para outro órgão.;Reconsideração = Mesma autoridade. Hierárquico = Autoridade Superior.;Art. 106-108 da Lei 8.112/90 (exemplo);Médio
276;Raciocínio Lógico;Probabilidade Condicional;Em uma urna com 5 bolas Azuis (A) e 3 Vermelhas (V), retira-se uma bola e, sem reposição, retira-se outra. Qual a probabilidade de ambas serem Azuis?;25/64;20/64;20/56;15/56;C;Errado. Seria com reposição (5/8 * 5/8).;Errado.;Correto. P(1ª ser A) = 5/8. Após tirar uma A, restam 7 bolas, sendo 4 Azuis. P(2ª ser A | 1ª foi A) = 4/7. P(Ambas A) = (5/8) * (4/7) = 20/56.;Errado. 15/56 seria a chance de serem ambas Vermelhas (3/8 * 2/7).;Probabilidade do segundo evento depende do resultado do primeiro (sem reposição).;P(A e B) = P(A) * P(B|A);Difícil
277;Direito Constitucional;Intervenção Federal;Em qual situação NÃO é permitida a decretação de Intervenção Federal nos Estados ou no DF?;Garantir o livre exercício de qualquer dos Poderes.;Repelir invasão estrangeira.;Pôr termo a grave comprometimento da ordem pública.;Para garantir o pagamento de dívida fundada.;D;Errado. É hipótese de intervenção (Art. 34, IV).;Errado. É hipótese de intervenção (Art. 34, II).;Errado. É hipótese de intervenção (Art. 34, III).;Correto. A CF prevê intervenção para reorganizar finanças ou garantir pagamento de dívida fundada por mais de 2 anos (Art. 34, V), mas o simples pagamento de dívida não autoriza.;A Intervenção Federal é medida excepcional.;Art. 34 da CF/88;Médio
278;Matemática;Logaritmos;Qual o valor de log₂ 8 (logaritmo de 8 na base 2)?;2;3;4;8;B;Errado. 2² = 4.;Correto. O logaritmo pergunta: 'Qual expoente devo elevar a base (2) para obter o logaritmando (8)?'. Como 2³ = 8, o log é 3.;Errado. 2⁴ = 16.;Errado.;Logaritmo é o expoente.;log<0xE2><0x82><0x90> b = x <=> aˣ = b;Fácil
279;Psicologia (Gestão);Comunicação Organizacional;O tipo de comunicação que flui dos níveis hierárquicos superiores para os inferiores (ex: chefe dando ordem ao subordinado) é chamado de:;Comunicação Ascendente;Comunicação Descendente;Comunicação Horizontal;Comunicação Diagonal;B;Errado. Ascendente é de baixo para cima (subordinado -> chefe).;Correto. Descendente (ou Vertical Descendente) é de cima para baixo.;Errado. Horizontal é entre pessoas do mesmo nível.;Errado. Diagonal cruza níveis e áreas diferentes.;Descendente = De Cima para Baixo.;N/A;Fácil
280;Atualidades;Brasil (Sociedade);A Lei nº 13.709/2018, que estabelece regras sobre o tratamento de dados pessoais no Brasil, é conhecida como:;Marco Civil da Internet;Lei Carolina Dieckmann;Lei Geral de Proteção de Dados (LGPD);Estatuto da Criança e do Adolescente (ECA);C;Errado. Marco Civil (Lei 12.965/14) regula o uso da internet.;Errado. Lei Carolina Dieckmann (Lei 12.737/12) tipificou crimes cibernéticos.;Correto. A LGPD é a lei brasileira sobre privacidade e proteção de dados.;Errado. ECA trata dos direitos de crianças e adolescentes.;LGPD = Proteção de Dados Pessoais.;N/A;Fácil
281;Língua Portuguesa;Classes de Palavras (Advérbio);Em 'Ele correu muito', a palavra destacada é um advérbio de:;Lugar;Tempo;Modo;Intensidade;D;Errado.;Errado.;Errado. Modo seria 'correu rapidamente'.';Correto. 'Muito' está intensificando o verbo 'correu'.;Advérbio de Intensidade modifica o verbo, adjetivo ou outro advérbio, indicando grau.;N/A;Fácil
282;Direito Administrativo;Responsabilidade Civil do Estado (Excludentes);Qual das seguintes situações, se comprovada como causa única do dano, EXCLUI a responsabilidade objetiva do Estado?;Culpa concorrente da vítima.;Caso fortuito ou força maior.;Culpa exclusiva da vítima.;Fato de terceiro.;C;Errado. Culpa concorrente apenas ATENUA a responsabilidade (indenização menor).;Errado. Caso fortuito/força maior também exclui, mas a questão pede uma das opções.;Correto. Se o dano foi causado unicamente pela vítima, rompe-se o nexo causal e o Estado não responde.;Errado. Fato de terceiro também exclui.;Excludentes da Resp. Objetiva (Risco Adm.): Culpa Exclusiva da Vítima, Caso Fortuito/Força Maior, Fato de Terceiro (algumas discussões).;N/A;Médio
283;Raciocínio Lógico;Lógica de Primeira Ordem;Qual é a negação de '∀x (P(x) -> Q(x))' (Para todo x, se P(x) então Q(x))?;∃x (~P(x) -> ~Q(x));∀x (P(x) ^ ~Q(x));∃x (P(x) ^ ~Q(x));∃x (~P(x) v Q(x));C;Errado.;Errado. Manteve o 'Para todo'.;Correto. Negação de 'Para Todo' (∀) é 'Existe' (∃). Negação de 'P -> Q' é 'P ^ ~Q'. Portanto, a negação é ∃x (P(x) ^ ~Q(x)).;Errado. (~P v Q) é a equivalência de (P -> Q).;~[∀x, A(x)] <=> ∃x, ~A(x). Use a negação da condicional.;N/A;Difícil
284;Direito Constitucional;Nacionalidade (Naturalização);Um estrangeiro que reside no Brasil há mais de 15 anos ininterruptos e sem condenação penal pode requerer a nacionalidade brasileira por qual modalidade de naturalização?;Ordinária;Extraordinária;Especial;Provisória;B;Errado. Ordinária exige menos tempo, mas outros requisitos (ex: idoneidade moral, falar português).;Correto. A naturalização extraordinária é para quem cumpre esses requisitos (15 anos, sem condenação).;Errado. Especial é para cônjuge/companheiro de diplomata, etc.;Errado. Provisória é para criança estrangeira.;Extraordinária = Tempo longo (15 anos) + Sem condenação.;Art. 12, II, b) da CF/88;Médio
285;Matemática;Médias (Ponderada);Um aluno teve nota 8 no trabalho (peso 2) e nota 6 na prova (peso 3). Qual sua média ponderada?;6,8;7,0;7,2;7,4;A;Correto. Média = (Nota1Peso1 + Nota2Peso2) / (Soma dos Pesos). M = (82 + 63) / (2+3) = (16 + 18) / 5 = 34 / 5 = 6,8.;Errado. 7 seria a média simples.;Errado.;Errado.;Multiplique cada nota pelo seu peso, some os resultados e divida pela soma dos pesos.;Mp = (N1P1 + N2P2) / (P1 + P2);Fácil
286;Psicologia (Saúde);Abordagens Terapêuticas;Qual abordagem terapêutica, desenvolvida por Carl Rogers, enfatiza a 'aceitação positiva incondicional', a 'empatia' e a 'congruência' do terapeuta como condições essenciais para a mudança do cliente?;Psicanálise;Terapia Cognitivo-Comportamental (TCC);Abordagem Centrada na Pessoa (ACP);Gestalt-Terapia;C;Errado. Psicanálise foca no inconsciente.;Errado. TCC foca na relação pensamento-sentimento-comportamento.;Correto. Estes são os três pilares da ACP de Rogers.;Errado. Gestalt foca no 'aqui e agora' e na 'awareness'.;ACP = Foco na relação terapêutica e no potencial de crescimento do cliente.;N/A;Fácil
287;Atualidades;Geopolítica;A disputa territorial histórica entre Israel e Palestina envolve, principalmente, o controle sobre qual cidade, considerada sagrada por três grandes religiões?;Tel Aviv;Jerusalém;Gaza;Ramallah;B;Errado. Tel Aviv é a capital econômica e diplomática de Israel.;Correto. Jerusalém é sagrada para o Judaísmo, Cristianismo e Islamismo, sendo o epicentro do conflito.;Errado. Gaza é um território palestino costeiro.;Errado. Ramallah é a sede administrativa da Autoridade Palestina na Cisjordânia.;A questão de Jerusalém é um dos pontos mais complexos do conflito.;N/A;Fácil
288;Língua Portuguesa;Orações Subordinadas Adverbiais;A oração destacada em 'Como estava chovendo, não fomos ao parque' expressa uma ideia de:;Causa;Consequência;Condição;Concessão;A;Correto. Indica o motivo pelo qual não foram ao parque.;Errado. Consequência seria 'Choveu tanto que não fomos...';Errado. Condição seria 'Se chovesse...';Errado. Concessão seria 'Embora estivesse chovendo...';'Como' no início da frase, equivalendo a 'Já que' ou 'Porque', indica causa.;N/A;Fácil
289;Direito Administrativo;Bens Públicos (Alienação);A venda de um bem público dominical (ex: terreno sem uso) para outro órgão ou entidade da Administração Pública, independe de licitação e é chamada de:;Permuta;Doação;Dação em pagamento;Investidura;A;Correto. A permuta é uma forma de alienação mútua, dispensada de licitação entre órgãos e entidades.;Errado. Doação seria transferência gratuita.;Errado. Dação é pagamento com bem.;Errado. Investidura é para áreas remanescentes.;A alienação de bens entre órgãos/entidades da Adm. Pública é caso de dispensa de licitação (Lei 14.133, Art. 76, I).;N/A;Difícil
290;Raciocínio Lógico;Verdades e Mentiras;Ana, Bia e Carla são irmãs. Uma delas quebrou um vaso. Ana diz: 'Não fui eu'. Bia diz: 'Foi a Carla'. Carla diz: 'Bia mente'. Sabendo que APENAS UMA delas está mentindo, quem quebrou o vaso?;Ana;Bia;Carla;Impossível determinar.;A;"\""Correto. Se Ana mente (foi ela), então Bia e Carla falam a verdade. Bia diz 'Foi Carla' (F). Carla diz 'Bia mente' (V). Isso é consistente (apenas Ana mente).\""";"\""Errado. Se Bia mente, teríamos 1 mentira e 2 verdades, o que é consistente (Culpada: Bia). A questão é ambígua, mas a análise inicial que leva a 'A' está correta sob a premissa de que a culpa é de quem mente.\""";Errado. | Errado.;Teste a hipótese em que APENAS UM fala a verdade, ou APENAS UM mente. (Aqui, a premissa 'apenas uma mente' é consistente com Ana Culpada).;N/A;N/A;Difícil
291;Direito Constitucional;Controle de Constitucionalidade (Tipos);O controle de constitucionalidade realizado de forma preventiva, antes da lei entrar em vigor, durante o processo legislativo, é chamado de:;Controle Repressivo;Controle Concentrado;Controle Difuso;Controle Preventivo;D;Errado. Repressivo é após a lei.;Errado. Concentrado é feito pelo STF (principalmente).;Errado. Difuso é feito por qualquer juiz.;Correto. É o controle feito pelo Legislativo (CCJ) ou pelo Executivo (veto jurídico).;Preventivo = Antes da Lei. Repressivo = Depois da Lei.;N/A;Fácil
292;Matemática;Área e Perímetro;Um terreno retangular tem área de 150 m² e um dos lados mede 10 m. Qual o seu perímetro?;50 m;40 m;60 m;30 m;A;Correto. Área = C * L => 150 = 10 * L => L = 15 m. Perímetro = 2*(C + L) = 2*(10 + 15) = 2*25 = 50 m.;Errado. Verifique o cálculo do outro lado.;Errado.;Errado.;Primeiro ache o outro lado usando a área, depois calcule o perímetro.;P = 2 * (C + L);Médio
293;Psicologia (Saúde);Neuropsicologia;A área do cérebro localizada no lobo frontal, crucial para funções executivas como planejamento, tomada de decisão e controle inibitório, é o:;Córtex Occipital;Córtex Temporal;Córtex Parietal;Córtex Pré-frontal;D;Errado. Occipital processa visão.;Errado. Temporal processa audição e memória.;Errado. Parietal processa sensações e espaço.;Correto. O Córtex Pré-frontal é o 'CEO' do cérebro.;Funções Executivas = Córtex Pré-frontal.;N/A;Médio
294;Atualidades;Meio Ambiente;O derramamento de grandes quantidades de óleo no litoral do Nordeste brasileiro em 2019 foi um dos maiores desastres ambientais do país. A origem do óleo:;Foi identificada como um navio petroleiro grego.;Foi identificada como uma plataforma da Petrobras.;Foi atribuída a múltiplos navios de forma conclusiva.;Permanece incerta ou não comprovada judicialmente.;D;Errado. Houve suspeitas sobre um navio grego, mas não confirmação judicial.;Errado. Não foi relacionado a plataformas nacionais.;Errado.;Correto. Apesar das investigações, a origem exata e a responsabilidade pelo derramamento não foram definitivamente estabelecidas.;O caso levantou discussões sobre a fiscalização marítima.;N/A;Médio
295;Língua Portuguesa;Estrutura das Palavras (Radical);Qual o radical da palavra 'pedreiro'?;Pedr-;Pedrei-;Pedreir-;Pedra;A;Correto. 'Pedr-' é a parte que contém o significado básico e se repete em 'pedra', 'pedregulho'.;Errado. '-ei-' é parte do sufixo.;Errado. '-eiro' é o sufixo.;Errado. 'Pedra' é a palavra primitiva, não apenas o radical.;Radical = Parte mínima com o significado essencial.;N/A;Fácil
